date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:53:12	1500 Hz	14 W	7,8E-6 mbar	1E-4 mbar
2021-05-15, 10:53:14	1500 Hz	15 W	7,8E-6 mbar	1E-4 mbar
2021-05-15, 10:53:16	1500 Hz	15 W	7,8E-6 mbar	1E-4 mbar
2021-05-15, 10:53:18	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:20	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:22	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:24	1500 Hz	14 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:26	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:28	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:30	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:53:32	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:34	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:36	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:38	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:40	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:42	1500 Hz	15 W	7,6E-6 mbar	1E-4 mbar
2021-05-15, 10:53:44	1500 Hz	15 W	7,5E-6 mbar	1E-4 mbar
2021-05-15, 10:53:46	1500 Hz	15 W	7,5E-6 mbar	1E-4 mbar
2021-05-15, 10:53:48	1500 Hz	14 W	7,5E-6 mbar	1E-4 mbar
2021-05-15, 10:53:50	1500 Hz	15 W	7,5E-6 mbar	1E-4 mbar
