date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 09:34:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:34:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 09:35:54	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-05-15, 09:35:56	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-05-15, 09:35:58	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-05-15, 09:36:00	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-05-15, 09:36:02	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-05-15, 09:36:04	0 Hz	0 W	1E3 mbar	1E3 mbar
