"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","1"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","1"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","1"
"69","0"
"70","1"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","2"
"78","3"
"79","10"
"80","6"
"81","15"
"82","18"
"83","23"
"84","31"
"85","29"
"86","32"
"87","36"
"88","66"
"89","63"
"90","87"
"91","87"
"92","106"
"93","125"
"94","147"
"95","125"
"96","124"
"97","167"
"98","170"
"99","209"
"100","217"
"101","258"
"102","285"
"103","266"
"104","291"
"105","365"
"106","363"
"107","422"
"108","439"
"109","461"
"110","492"
"111","463"
"112","445"
"113","419"
"114","418"
"115","399"
"116","347"
"117","300"
"118","263"
"119","226"
"120","181"
"121","144"
"122","161"
"123","124"
"124","122"
"125","107"
"126","121"
"127","107"
"128","114"
"129","144"
"130","145"
"131","174"
"132","206"
"133","233"
"134","253"
"135","283"
"136","311"
"137","413"
"138","422"
"139","466"
"140","628"
"141","673"
"142","775"
"143","850"
"144","991"
"145","1106"
"146","1251"
"147","1461"
"148","1625"
"149","1817"
"150","1920"
"151","2091"
"152","2296"
"153","2369"
"154","2494"
"155","2505"
"156","2369"
"157","2449"
"158","2313"
"159","2140"
"160","1972"
"161","1814"
"162","1624"
"163","1358"
"164","1217"
"165","1042"
"166","874"
"167","690"
"168","552"
"169","426"
"170","350"
"171","297"
"172","237"
"173","183"
"174","162"
"175","136"
"176","126"
"177","107"
"178","98"
"179","114"
"180","96"
"181","105"
"182","115"
"183","107"
"184","91"
"185","91"
"186","104"
"187","103"
"188","103"
"189","108"
"190","97"
"191","104"
"192","121"
"193","115"
"194","94"
"195","103"
"196","104"
"197","120"
"198","104"
"199","112"
"200","109"
"201","122"
"202","101"
"203","112"
"204","111"
"205","113"
"206","120"
"207","117"
"208","110"
"209","100"
"210","129"
"211","111"
"212","107"
"213","98"
"214","104"
"215","110"
"216","113"
"217","111"
"218","124"
"219","111"
"220","95"
"221","110"
"222","106"
"223","97"
"224","111"
"225","107"
"226","117"
"227","114"
"228","94"
"229","100"
"230","97"
"231","95"
"232","115"
"233","107"
"234","102"
"235","96"
"236","103"
"237","84"
"238","98"
"239","95"
"240","96"
"241","83"
"242","99"
"243","97"
"244","98"
"245","99"
"246","97"
"247","97"
"248","87"
"249","80"
"250","107"
"251","101"
"252","101"
"253","92"
"254","73"
"255","95"
"256","85"
"257","87"
"258","82"
"259","60"
"260","71"
"261","84"
"262","77"
"263","76"
"264","89"
"265","74"
"266","67"
"267","74"
