"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","1"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","1"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","1"
"56","0"
"57","0"
"58","0"
"59","0"
"60","1"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","1"
"69","0"
"70","1"
"71","0"
"72","2"
"73","1"
"74","0"
"75","1"
"76","0"
"77","1"
"78","4"
"79","3"
"80","7"
"81","11"
"82","9"
"83","13"
"84","19"
"85","17"
"86","22"
"87","23"
"88","29"
"89","26"
"90","32"
"91","31"
"92","32"
"93","24"
"94","30"
"95","40"
"96","40"
"97","53"
"98","60"
"99","39"
"100","53"
"101","47"
"102","39"
"103","47"
"104","58"
"105","59"
"106","61"
"107","55"
"108","58"
"109","58"
"110","64"
"111","54"
"112","69"
"113","57"
"114","60"
"115","50"
"116","58"
"117","64"
"118","57"
"119","81"
"120","67"
"121","72"
"122","70"
"123","75"
"124","63"
"125","58"
"126","61"
"127","56"
"128","63"
"129","71"
"130","72"
"131","70"
"132","69"
"133","80"
"134","75"
"135","71"
"136","78"
"137","66"
"138","66"
"139","71"
"140","73"
"141","77"
"142","89"
"143","77"
"144","81"
"145","91"
"146","86"
"147","93"
"148","90"
"149","86"
"150","75"
"151","96"
"152","92"
"153","96"
"154","92"
"155","99"
"156","112"
"157","93"
"158","113"
"159","131"
"160","98"
"161","104"
"162","118"
"163","120"
"164","105"
"165","114"
"166","112"
"167","111"
"168","125"
"169","124"
"170","142"
"171","146"
"172","130"
"173","142"
"174","96"
"175","119"
"176","122"
"177","153"
"178","129"
"179","133"
"180","140"
"181","129"
"182","136"
"183","146"
"184","139"
"185","124"
"186","134"
