"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","1"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","1"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","1"
"71","1"
"72","0"
"73","1"
"74","0"
"75","0"
"76","1"
"77","0"
"78","5"
"79","1"
"80","5"
"81","8"
"82","6"
"83","9"
"84","12"
"85","19"
"86","33"
"87","33"
"88","41"
"89","35"
"90","37"
"91","35"
"92","43"
"93","44"
"94","47"
"95","51"
"96","61"
"97","74"
"98","63"
"99","75"
"100","70"
"101","72"
"102","64"
"103","79"
"104","91"
"105","101"
"106","81"
"107","137"
"108","139"
"109","167"
"110","207"
"111","205"
"112","236"
"113","269"
"114","309"
"115","318"
"116","329"
"117","366"
"118","327"
"119","265"
"120","276"
"121","265"
"122","227"
"123","229"
"124","178"
"125","159"
"126","152"
"127","113"
"128","131"
"129","133"
"130","111"
"131","92"
"132","97"
"133","100"
"134","108"
"135","88"
"136","71"
"137","81"
"138","70"
"139","93"
"140","116"
"141","95"
"142","79"
"143","97"
"144","107"
"145","106"
"146","118"
"147","88"
"148","98"
"149","111"
"150","99"
"151","86"
"152","114"
"153","115"
"154","105"
"155","126"
"156","121"
"157","126"
"158","108"
"159","101"
"160","119"
"161","138"
"162","134"
"163","145"
"164","114"
"165","121"
"166","124"
"167","135"
"168","130"
"169","137"
"170","133"
"171","165"
"172","152"
"173","167"
"174","158"
"175","164"
"176","140"
"177","130"
"178","148"
"179","149"
"180","155"
"181","143"
"182","144"
"183","145"
"184","151"
"185","161"
"186","153"
