"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","1"
"7","0"
"8","0"
"9","0"
"10","3"
"11","0"
"12","0"
"13","0"
"14","1"
"15","0"
"16","2"
"17","0"
"18","0"
"19","1"
"20","0"
"21","1"
"22","0"
"23","3"
"24","0"
"25","0"
"26","1"
"27","2"
"28","0"
"29","2"
"30","2"
"31","1"
"32","0"
"33","3"
"34","1"
"35","1"
"36","0"
"37","1"
"38","0"
"39","0"
"40","1"
"41","2"
"42","3"
"43","1"
"44","4"
"45","2"
"46","4"
"47","1"
"48","1"
"49","3"
"50","3"
"51","2"
"52","2"
"53","6"
"54","7"
"55","1"
"56","4"
"57","4"
"58","2"
"59","3"
"60","4"
"61","4"
"62","3"
"63","6"
"64","6"
"65","1"
"66","2"
"67","5"
"68","8"
"69","4"
"70","4"
"71","8"
"72","3"
"73","5"
"74","4"
"75","6"
"76","11"
"77","11"
"78","11"
"79","23"
"80","35"
"81","43"
"82","67"
"83","89"
"84","112"
"85","159"
"86","208"
"87","236"
"88","231"
"89","251"
"90","261"
"91","261"
"92","243"
"93","269"
"94","270"
"95","226"
"96","211"
"97","210"
"98","238"
"99","219"
"100","222"
"101","220"
"102","220"
"103","204"
"104","241"
"105","268"
"106","303"
"107","305"
"108","325"
"109","404"
"110","433"
"111","498"
"112","582"
"113","690"
"114","740"
"115","863"
"116","1075"
"117","1349"
"118","1540"
"119","1749"
"120","2119"
"121","2367"
"122","2769"
"123","2942"
"124","3424"
"125","3517"
"126","3799"
"127","3870"
"128","3889"
"129","3920"
"130","3735"
"131","3532"
"132","3372"
"133","3201"
"134","2840"
"135","2450"
"136","2188"
"137","1984"
"138","1644"
"139","1582"
"140","1334"
"141","1180"
"142","973"
"143","819"
"144","707"
"145","617"
"146","516"
"147","459"
"148","422"
"149","335"
"150","317"
"151","299"
"152","266"
"153","259"
"154","240"
"155","263"
"156","269"
"157","249"
"158","255"
"159","281"
"160","268"
"161","272"
"162","253"
"163","277"
"164","267"
"165","326"
"166","303"
"167","338"
"168","326"
"169","348"
"170","322"
"171","368"
"172","348"
"173","395"
"174","393"
"175","387"
"176","474"
"177","424"
"178","446"
"179","497"
"180","500"
"181","499"
