"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","1"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","1"
"68","0"
"69","0"
"70","0"
"71","0"
"72","1"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","3"
"79","10"
"80","14"
"81","9"
"82","15"
"83","17"
"84","16"
"85","12"
"86","13"
"87","16"
"88","17"
"89","25"
"90","12"
"91","21"
"92","23"
"93","18"
"94","22"
"95","28"
"96","34"
"97","27"
"98","27"
"99","25"
"100","32"
"101","36"
"102","38"
"103","35"
"104","33"
"105","26"
"106","41"
"107","41"
"108","37"
"109","43"
"110","39"
"111","42"
"112","50"
"113","41"
"114","41"
"115","59"
"116","46"
"117","47"
"118","53"
"119","41"
"120","44"
"121","32"
"122","46"
"123","41"
"124","34"
"125","42"
"126","52"
"127","46"
"128","57"
"129","39"
"130","54"
"131","44"
"132","49"
"133","46"
"134","56"
"135","57"
"136","44"
"137","49"
"138","55"
"139","56"
"140","46"
"141","54"
"142","64"
"143","56"
"144","63"
"145","67"
"146","66"
"147","66"
"148","61"
"149","51"
"150","74"
"151","68"
"152","75"
"153","82"
"154","67"
"155","86"
"156","67"
"157","66"
"158","85"
"159","80"
"160","82"
"161","96"
"162","79"
"163","107"
"164","96"
"165","106"
"166","95"
"167","112"
"168","95"
"169","109"
"170","104"
"171","98"
"172","112"
"173","134"
"174","103"
"175","123"
"176","113"
"177","117"
"178","132"
"179","123"
"180","114"
"181","123"
"182","114"
"183","121"
"184","134"
"185","141"
"186","98"
