"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","1"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","1"
"74","0"
"75","0"
"76","0"
"77","0"
"78","2"
"79","1"
"80","3"
"81","4"
"82","9"
"83","1"
"84","7"
"85","1"
"86","5"
"87","5"
"88","8"
"89","15"
"90","11"
"91","6"
"92","15"
"93","20"
"94","15"
"95","17"
"96","16"
"97","9"
"98","12"
"99","18"
"100","21"
"101","23"
"102","15"
"103","19"
"104","12"
"105","24"
"106","22"
"107","15"
"108","17"
"109","18"
"110","26"
"111","18"
"112","22"
"113","27"
"114","19"
"115","27"
"116","22"
"117","27"
"118","34"
"119","23"
"120","26"
"121","33"
"122","21"
"123","31"
"124","26"
"125","33"
"126","16"
"127","26"
"128","21"
"129","20"
"130","27"
"131","29"
"132","23"
"133","33"
"134","26"
"135","35"
"136","32"
"137","33"
"138","41"
"139","49"
"140","34"
"141","32"
"142","41"
"143","36"
"144","42"
"145","41"
"146","30"
"147","50"
"148","53"
"149","46"
"150","55"
"151","54"
"152","54"
"153","59"
"154","64"
"155","75"
"156","48"
"157","48"
"158","73"
"159","60"
"160","71"
"161","70"
"162","77"
"163","73"
"164","57"
"165","72"
"166","62"
"167","86"
"168","94"
"169","86"
"170","74"
"171","70"
"172","83"
"173","100"
"174","71"
"175","89"
"176","78"
"177","102"
"178","86"
"179","106"
"180","106"
"181","102"
"182","122"
"183","104"
"184","93"
"185","98"
"186","89"
